Labels,Label_NO,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12
Right POrG posterior orbital gyrus,178,1,1,4,5,5,29,35,35,65,97,105,105
Left POrG posterior orbital gyrus,179,1,1,4,6,6,30,36,36,66,98,106,106
Right PP planum polare,180,1,1,4,5,21,27,41,41,43,45,107,107
Left PP planum polare,181,1,1,4,6,22,28,42,42,44,46,108,108
Right PrG precentral gyrus,182,1,1,4,5,5,29,43,55,69,99,109,109
Left PrG precentral gyrus,183,1,1,4,6,6,30,44,56,70,100,110,110
Right PT planum temporale,184,1,1,4,5,21,27,41,41,43,45,45,111
Left PT planum temporale,185,1,1,4,6,22,28,42,42,44,46,46,112
Right SCA subcallosal area,186,1,1,4,5,5,5,5,5,33,101,111,113
Left SCA subcallosal area,187,1,1,4,6,6,6,6,6,34,102,112,114
Right SFG superior frontal gyrus,190,1,1,4,5,5,29,43,49,51,103,113,115
Left SFG superior frontal gyrus,191,1,1,4,6,6,30,44,50,52,104,114,116
Right SMC supplementary motor cortex,192,1,1,4,5,5,29,43,49,53,77,115,117
Left SMC supplementary motor cortex,193,1,1,4,6,6,30,44,50,54,78,116,118
Right SMG supramarginal gyrus,194,1,1,4,5,5,5,37,37,39,105,117,119
Left SMG supramarginal gyrus,195,1,1,4,6,6,6,38,38,40,106,118,120
Right SOG superior occipital gyrus,196,1,1,4,5,21,31,45,57,87,107,119,121
Left SOG superior occipital gyrus,197,1,1,4,6,22,32,46,58,88,108,120,122
Right SPL superior parietal lobule,198,1,1,4,5,5,5,37,59,67,109,121,123
Left SPL superior parietal lobule,199,1,1,4,6,6,6,38,60,68,110,122,124
Right STG superior temporal gyrus,200,1,1,4,5,21,27,41,41,43,111,123,125
Left STG superior temporal gyrus,201,1,1,4,6,22,28,42,42,44,112,124,126
Right TMP temporal pole,202,1,1,4,5,21,27,41,45,89,113,125,127
Left TMP temporal pole,203,1,1,4,6,22,28,42,46,90,114,126,128
Right TrIFG triangular part of the inferior frontal gyrus,204,1,1,4,5,5,29,35,47,49,115,127,129
Left TrIFG triangular part of the inferior frontal gyrus,205,1,1,4,6,6,30,36,48,50,116,128,130
Right TTG transverse temporal gyrus,206,1,1,4,5,21,27,41,41,43,45,107,131
Left TTG transverse temporal gyrus,207,1,1,4,6,22,28,42,42,44,46,108,132
